Index,Case IDs,NumOfCases,IsReliable,"Raw Fitness Cost","Calculation Time (ms)","Num. States","Move-Model Fitness","Trace Fitness","Move-Log Fitness","Trace Length","Queued States",Match
720,"trace_1478",1,Yes,"10.00","2.00","580.00","0.70","0.68","0.78","18.00","616.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L/M]FRPP|[L/M]EPP|[M-REAL]SHRRP|[L]SRP|[L]FRP|[L/M]HRHA|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[M-REAL]RHRRPC|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[M-REAL]HRRAN|[M-REAL]HRRR|[M-REAL]FHRRP|[M-REAL]FRP|[L]EPP|[L]SLRRP
721,"trace_1497",1,Yes,"8.00","2.00","527.00","0.80","0.76","0.80","20.00","579.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[M-REAL]SHRRP|[L]SRP|[L]FRP|[L/M]SHRRPC|[L/M]HRRAN|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]HRHA|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[M-REAL]HRRR|[M-REAL]FHRRP|[M-REAL]FRP|[L]EPP|[L]SLRRP
722,"trace_1532",1,Yes,"9.00","1.00","321.00","0.79","0.73","0.75","20.00","410.00",[L/M]SRP|[M-REAL]SRPP|[L]FRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[M-REAL]FRPP|[L]SRPP|[L/M]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[M-REAL]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L]LRIRV|[L/M]LRERV|[L]FLRRP|[L/M]LRRR|[M-REAL]FLRRP|[L/M]FRP|[L]FHRRP
723,"trace_1544",1,Yes,"6.00","1.00","155.00","0.90","0.83","0.82","22.00","253.00",[L/M]SRP|[M-REAL]SRPP|[L]FRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[M-REAL]FRPP|[L]SRPP|[L/M]EPP|[L/M]SHRRP|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L]SRP|[L/M]HRHA|[L/M]RHRRPC|[L/M]HRRAN|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L]HRRAN|[L/M]FRP
724,"trace_1550",1,Yes,"2.00","0.00","135.00","1.00","0.95","0.92","24.00","243.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L/M]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]HRHA|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]HRRAN|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP|[L]SLRRP|[L]SRP
725,"trace_1578",1,Yes,"8.00","1.00","389.00","0.84","0.76","0.76","21.00","470.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RIBPC|[L/M]RBPC|[L/M]FRPP|[L/M]REPP|[M-REAL]SRPP|[L]REPP|[L]FRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[M-REAL]FRPP|[L]SRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L]LRIRV|[L/M]LRRR|[M-REAL]FLRRP|[L/M]FRP|[L]HRHA
726,"trace_1582",1,Yes,"7.00","1.00","305.00","0.89","0.80","0.77","22.00","386.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L/M]FRPP|[L/M]REPP|[M-REAL]SRPP|[L]REPP|[L]FRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[M-REAL]FRPP|[L]SRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L]LRRR|[L]HRRAN|[L/M]FLRRP|[L/M]FRP
727,"trace_1585",1,Yes,"3.00","0.00","168.00","0.95","0.92","0.91","23.00","265.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RIBPC|[L/M]RBPC|[L/M]FRPP|[L/M]REPP|[L]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]SHRRPC|[L/M]HRRAN|[L]FLRRP|[L/M]HRHA|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]HRRR|[M-REAL]FHRRP|[L/M]FRP
728,"trace_1594",1,Yes,"7.00","0.00","163.00","0.89","0.80","0.77","22.00","228.00",[L/M]SRP|[M-REAL]SRPP|[L]FRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[M-REAL]FRPP|[L]SRPP|[L/M]REPP|[L]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L]HRRAN|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L]HRRR|[L/M]LRERV|[L/M]LRIRV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
729,"trace_1693",1,Yes,"7.00","1.00","392.00","0.77","0.78","0.89","19.00","464.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[M-REAL]REPC|[M-REAL]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]HRRAN|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]HRHA|[L/M]FHRRPC|[M-REAL]HRRR|[M-REAL]FHRRP|[M-REAL]FRP|[L]EPP|[L]SLRRP
730,"trace_1696",1,Yes,"2.00","1.00","91.00","1.00","0.95","0.92","24.00","181.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L/M]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L/M]FRPP|[L]SLRRP|[L/M]EPP|[L/M]SHRRP|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]HRRAN|[L]REPC|[L/M]HRHA|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
